26-Jul-24 12:31:14 PM: # Cycle 00000 | Well E05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-65719 Z:7458
26-Jul-24 12:31:43 PM: # Cycle 00000 | Well E04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-65719 Z:7470
26-Jul-24 12:32:12 PM: # Cycle 00000 | Well E03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-65719 Z:7424
26-Jul-24 12:32:40 PM: # Cycle 00000 | Well E02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-65719 Z:7366
26-Jul-24 12:33:09 PM: # Cycle 00000 | Well E01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-65719 Z:7274
26-Jul-24 12:33:41 PM: # Cycle 00000 | Well G01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-29925 Z:7258
26-Jul-24 12:34:12 PM: # Cycle 00000 | Well G02, Position 00001 | Channel BRIGHT | Filter GFP | X:37682 Y:-29924 Z:7380
26-Jul-24 12:34:42 PM: # Cycle 00000 | Well G03, Position 00001 | Channel BRIGHT | Filter GFP | X:55455 Y:-29924 Z:7410
26-Jul-24 12:35:11 PM: # Cycle 00000 | Well G04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-29924 Z:7468
26-Jul-24 12:35:40 PM: # Cycle 00000 | Well G05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-29924 Z:7472
26-Jul-24 12:36:09 PM: # Cycle 00000 | Well G06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-29924 Z:7498
26-Jul-24 12:36:38 PM: # Cycle 00000 | Well G07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-29924 Z:7524
26-Jul-24 12:37:07 PM: # Cycle 00000 | Well G08, Position 00001 | Channel BRIGHT | Filter GFP | X:144338 Y:-29924 Z:7490
26-Jul-24 12:37:37 PM: # Cycle 00000 | Well G09, Position 00001 | Channel BRIGHT | Filter GFP | X:162111 Y:-29924 Z:7540
26-Jul-24 12:38:06 PM: # Cycle 00000 | Well G10, Position 00001 | Channel BRIGHT | Filter GFP | X:179887 Y:-29924 Z:7482
26-Jul-24 12:38:34 PM: # Cycle 00000 | Well G11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-29924 Z:7462
26-Jul-24 12:39:04 PM: # Cycle 00000 | Well G12, Position 00001 | Channel BRIGHT | Filter GFP | X:215442 Y:-29924 Z:7412
26-Jul-24 12:39:32 PM: # Cycle 00000 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-12027 Z:7374
26-Jul-24 12:40:02 PM: # Cycle 00000 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197664 Y:-12027 Z:7444
26-Jul-24 12:40:31 PM: # Cycle 00000 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-12027 Z:7452
26-Jul-24 12:41:01 PM: # Cycle 00000 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-12027 Z:7506
26-Jul-24 12:41:30 PM: # Cycle 00000 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-12027 Z:7526
26-Jul-24 12:41:59 PM: # Cycle 00000 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-12027 Z:7517
26-Jul-24 12:42:28 PM: # Cycle 00000 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108783 Y:-12027 Z:7525
26-Jul-24 12:42:56 PM: # Cycle 00000 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7517
26-Jul-24 12:43:25 PM: # Cycle 00000 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-12027 Z:7450
26-Jul-24 12:43:53 PM: # Cycle 00000 | Well H03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-12027 Z:7407
26-Jul-24 12:44:22 PM: # Cycle 00000 | Well H02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-12027 Z:7365
26-Jul-24 12:44:51 PM: # Cycle 00000 | Well H01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-12027 Z:7257
26-Jul-24 4:09:31 PM: # Cycle 00001 | Well A01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-137306 Z:7135
26-Jul-24 4:09:44 PM: # Cycle 00001 | Well A02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-137308 Z:7253
26-Jul-24 4:09:57 PM: # Cycle 00001 | Well A03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-137308 Z:7087
26-Jul-24 4:10:10 PM: # Cycle 00001 | Well A04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-137308 Z:7343
26-Jul-24 4:10:22 PM: # Cycle 00001 | Well A05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-137308 Z:7373
26-Jul-24 4:10:35 PM: # Cycle 00001 | Well A06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-137307 Z:7417
26-Jul-24 4:10:48 PM: # Cycle 00001 | Well A07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-137307 Z:7423
26-Jul-24 4:11:01 PM: # Cycle 00001 | Well A08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-137307 Z:7379
26-Jul-24 4:11:14 PM: # Cycle 00001 | Well A09, Position 00001 | Channel BRIGHT | Filter GFP | X:162114 Y:-137308 Z:7393
26-Jul-24 4:11:28 PM: # Cycle 00001 | Well A10, Position 00001 | Channel BRIGHT | Filter GFP | X:179890 Y:-137306 Z:7423
26-Jul-24 4:11:41 PM: # Cycle 00001 | Well A11, Position 00001 | Channel BRIGHT | Filter GFP | X:197666 Y:-137307 Z:7375
26-Jul-24 4:11:54 PM: # Cycle 00001 | Well A12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-137307 Z:7279
26-Jul-24 4:12:07 PM: # Cycle 00001 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-119410 Z:7429
26-Jul-24 4:12:20 PM: # Cycle 00001 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-119410 Z:7429
26-Jul-24 4:12:33 PM: # Cycle 00001 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179887 Y:-119409 Z:7425
26-Jul-24 4:12:45 PM: # Cycle 00001 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-119409 Z:7391
26-Jul-24 4:12:59 PM: # Cycle 00001 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-119409 Z:7430
26-Jul-24 4:13:12 PM: # Cycle 00001 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-119409 Z:7406
26-Jul-24 4:13:25 PM: # Cycle 00001 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-119409 Z:7435
26-Jul-24 4:13:38 PM: # Cycle 00001 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-119409 Z:7189
26-Jul-24 4:13:52 PM: # Cycle 00001 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-119409 Z:7365
26-Jul-24 4:14:05 PM: # Cycle 00001 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-119409 Z:7321
26-Jul-24 4:14:18 PM: # Cycle 00001 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-119409 Z:7255
26-Jul-24 4:14:31 PM: # Cycle 00001 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-119409 Z:6977
