29-Aug-24 4:37:02 PM: # Cycle 00000 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7464
29-Aug-24 4:37:32 PM: # Cycle 00000 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-12027 Z:7384
29-Aug-24 4:38:02 PM: # Cycle 00000 | Well H03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-12027 Z:7342
29-Aug-24 4:38:32 PM: # Cycle 00000 | Well H02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-12027 Z:7284
29-Aug-24 4:39:02 PM: # Cycle 00000 | Well H01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-12027 Z:7146
29-Aug-24 8:14:49 PM: # Cycle 00001 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-119409 Z:7149
29-Aug-24 8:15:01 PM: # Cycle 00001 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37681 Y:-119409 Z:7229
29-Aug-24 8:15:14 PM: # Cycle 00001 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55457 Y:-119409 Z:7303
29-Aug-24 8:15:27 PM: # Cycle 00001 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73233 Y:-119409 Z:7347
29-Aug-24 8:15:39 PM: # Cycle 00001 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-119409 Z:7352
29-Aug-24 8:15:51 PM: # Cycle 00001 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-119409 Z:7428
29-Aug-24 8:16:03 PM: # Cycle 00001 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-119409 Z:7403
29-Aug-24 8:16:15 PM: # Cycle 00001 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144338 Y:-119410 Z:7427
29-Aug-24 8:16:29 PM: # Cycle 00001 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162116 Y:-119410 Z:7381
29-Aug-24 8:16:41 PM: # Cycle 00001 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179892 Y:-119410 Z:7431
29-Aug-24 8:16:54 PM: # Cycle 00001 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197671 Y:-119411 Z:7422
29-Aug-24 8:17:06 PM: # Cycle 00001 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215445 Y:-119411 Z:7426
29-Aug-24 8:17:22 PM: # Cycle 00001 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215438 Y:-83616 Z:7408
29-Aug-24 8:17:34 PM: # Cycle 00001 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-83616 Z:7390
29-Aug-24 8:17:47 PM: # Cycle 00001 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179886 Y:-83616 Z:7436
29-Aug-24 8:17:59 PM: # Cycle 00001 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-83616 Z:7463
29-Aug-24 8:18:11 PM: # Cycle 00001 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-83616 Z:7458
29-Aug-24 8:18:24 PM: # Cycle 00001 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-83616 Z:7490
29-Aug-24 8:18:37 PM: # Cycle 00001 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-83616 Z:7439
29-Aug-24 8:18:49 PM: # Cycle 00001 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-83616 Z:7409
29-Aug-24 8:19:02 PM: # Cycle 00001 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-83615 Z:7351
29-Aug-24 8:19:15 PM: # Cycle 00001 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-83615 Z:7137
29-Aug-24 8:19:27 PM: # Cycle 00001 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-83615 Z:7121
29-Aug-24 8:19:39 PM: # Cycle 00001 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19905 Y:-83615 Z:7017
29-Aug-24 8:19:56 PM: # Cycle 00001 | Well F01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-47824 Z:7207
29-Aug-24 8:20:09 PM: # Cycle 00001 | Well F02, Position 00001 | Channel BRIGHT | Filter GFP | X:37683 Y:-47823 Z:7281
29-Aug-24 8:20:22 PM: # Cycle 00001 | Well F03, Position 00001 | Channel BRIGHT | Filter GFP | X:55459 Y:-47824 Z:7353
29-Aug-24 8:20:35 PM: # Cycle 00001 | Well F04, Position 00001 | Channel BRIGHT | Filter GFP | X:73234 Y:-47823 Z:7425
29-Aug-24 8:20:47 PM: # Cycle 00001 | Well F05, Position 00001 | Channel BRIGHT | Filter GFP | X:91009 Y:-47823 Z:7443
29-Aug-24 8:20:59 PM: # Cycle 00001 | Well F06, Position 00001 | Channel BRIGHT | Filter GFP | X:108786 Y:-47824 Z:7533
29-Aug-24 8:21:12 PM: # Cycle 00001 | Well F07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-47824 Z:7505
29-Aug-24 8:21:24 PM: # Cycle 00001 | Well F08, Position 00001 | Channel BRIGHT | Filter GFP | X:144340 Y:-47824 Z:7465
29-Aug-24 8:21:37 PM: # Cycle 00001 | Well F09, Position 00001 | Channel BRIGHT | Filter GFP | X:162118 Y:-47824 Z:7481
29-Aug-24 8:21:49 PM: # Cycle 00001 | Well F10, Position 00001 | Channel BRIGHT | Filter GFP | X:179893 Y:-47824 Z:7453
29-Aug-24 8:22:02 PM: # Cycle 00001 | Well F11, Position 00001 | Channel BRIGHT | Filter GFP | X:197672 Y:-47824 Z:7459
29-Aug-24 8:22:14 PM: # Cycle 00001 | Well F12, Position 00001 | Channel BRIGHT | Filter GFP | X:215447 Y:-47824 Z:7411
29-Aug-24 8:22:30 PM: # Cycle 00001 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-12027 Z:7357
29-Aug-24 8:22:43 PM: # Cycle 00001 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-12027 Z:7429
